Category,Item,Serving Size,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
1,Egg McMuffin,136,300,120,13,20,5,25,0,260,87,750,31,31,10,4,17,3,17,10,0,25,15
1,Egg White Delight,135,250,70,8,12,3,15,0,25,8,770,32,30,10,4,17,3,18,6,0,25,8
1,Sausage McMuffin,111,370,200,23,35,8,42,0,45,15,780,33,29,10,4,17,2,14,8,0,25,10
1,Sausage McMuffin with Egg,161,450,250,28,43,10,52,0,285,95,860,36,30,10,4,17,2,21,15,0,30,15
1,Sausage McMuffin with Egg Whites,161,400,210,23,35,8,42,0,50,16,880,37,30,10,4,17,2,21,6,0,25,10
1,Steak & Egg McMuffin,185,430,210,23,36,9,46,1,300,100,960,40,31,10,4,18,3,26,15,2,30,20
1,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",150,460,230,26,40,13,65,0,250,83,1300,54,38,13,2,7,3,19,10,8,15,15
1,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",164,520,270,30,47,14,68,0,250,83,1410,59,43,14,3,12,4,19,15,8,20,20
1,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",153,410,180,20,32,11,56,0,35,11,1300,54,36,12,2,7,3,20,2,8,15,10
1,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",167,470,220,25,38,12,59,0,35,11,1420,59,42,14,3,12,4,20,6,8,15,15
1,Sausage Biscuit (Regular Biscuit),117,430,240,27,42,12,62,0,30,10,1080,45,34,11,2,6,2,11,0,0,6,15
1,Sausage Biscuit (Large Biscuit),131,480,280,31,48,13,65,0,30,10,1190,50,39,13,3,11,3,11,4,0,8,15
1,Sausage Biscuit with Egg (Regular Biscuit),163,510,290,33,50,14,71,0,250,83,1170,49,36,12,2,6,2,18,6,0,10,20
